sample_name	sample_type	cell_source	sample_source	pmid	data_repository	data_repository_sample_id	study_specific_donor_id	donor_sex	cell_type	condition_label	perturbation	lineage	immunophenotype	bio_sample	bio_group	tech_rep	assay	tss_score	peak_count	frip	dedup_aligned_reads	sample_for_ABC_peak_calls
Donor4983_HSC_1A	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920466	Donor4983	male	HSC	HSC	Unperturbed	HSPC	Lin–CD34+CD38–CD90+CD10–	Donor4983_HSC	HSC	1A	ATAC-Seq	20.3	136805	0.46	9133062	FALSE
Donor4983_MPP_2A	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920467	Donor4983	male	MPP	MPP	Unperturbed	HSPC	Lin–CD34+CD38–CD90–CD10–	Donor4983_MPP	MPP	2A	ATAC-Seq	17.2	262060	0.49	7267436	FALSE
Donor4983_LMPP_3A	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920468	Donor4983	male	LMPP	LMPP	Unperturbed	HSPC	Lin–CD34+CD38–CD45RA+CD10–	Donor4983_LMPP	LMPP	3A	ATAC-Seq	17	282557	0.46	6893834	TRUE
Donor4983_CMP_4A	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920469	Donor4983	male	CMP	CMP	Unperturbed	HSPC	Lin–CD34+CD38+CD123+CD45RA–CD10–	Donor4983_CMP	CMP	4A	ATAC-Seq	17.9	187347	0.41	10401294	TRUE
Donor4983_CMP_4B	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920470	Donor4983	male	CMP	CMP	Unperturbed	HSPC	Lin–CD34+CD38+CD123+CD45RA–CD10–	Donor4983_CMP	CMP	4B	ATAC-Seq	16	215583	0.42	11414234	FALSE
Donor4983_GMP_5A	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920471	Donor4983	male	GMP	GMP	Unperturbed	HSPC	Lin–CD34+CD38+CD123+CD45RA+CD10–	Donor4983_GMP	GMP	5A	ATAC-Seq	15.7	185377	0.33	10034540	TRUE
Donor4983_GMP_5B	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920472	Donor4983	male	GMP	GMP	Unperturbed	HSPC	Lin–CD34+CD38+CD123+CD45RA+CD10–	Donor4983_GMP	GMP	5B	ATAC-Seq	14.6	242895	0.37	11738368	FALSE
Donor4983_MEP_6A	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920473	Donor4983	male	MEP	MEP	Unperturbed	HSPC	Lin–CD34+CD38+CD123–CD45RA–CD10–	Donor4983_MEP	MEP	6A	ATAC-Seq	14.4	221574	0.41	12149554	FALSE
Donor4983_MEP_6B	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920474	Donor4983	male	MEP	MEP	Unperturbed	HSPC	Lin–CD34+CD38+CD123–CD45RA–CD10–	Donor4983_MEP	MEP	6B	ATAC-Seq	14.8	218265	0.42	11833920	FALSE
Donor6792_HSC_1A	FACS isolated primary cell	Bone marrow mononuclear cells	Corces_2016_Nature_Genetics	27526324	NCBI GEO	SRR2920477	Donor6792	male	HSC	HSC	Unperturbed	HSPC	Lin–CD34+CD38–CD90+CD10–	Donor6792_HSC	HSC	1A	ATAC-Seq	20.4	154328	0.48	11303010	TRUE
