cell.type	num.macs2.peaks	macs2.raw.median.width	num.expressed.genes	num.eg.predictions	num.abc.enhancers	mean.genes.per.enhancer	mean.enhancer.per.gene	median.eg.distance
Activated_CD19+_B	204799	320	18112	54777	22278	2.45879342849448	3.02434849823322	20574
Activated_Memory_B	156752	321	18112	54925	22650	2.42494481236203	3.03251987632509	19513
Activated_Naive_B	156156	322	18111	55088	22895	2.40611487224285	3.04168737231517	19476.5
B_Centroblast	162947	312	18112	59376	25433	2.33460464750521	3.27826855123675	15373.5
B_Centrocyte	175375	286	18112	59364	25498	2.32818260255706	3.27760600706714	15162.5
CD19+_B	140103	321	18112	58412	23795	2.45480142887161	3.22504416961131	17116
CLP	146487	275	18112	56664	25172	2.25107262037184	3.12853356890459	17377.25
Immature_B	101958	262	18112	58175	25271	2.30204582327569	3.21195892226148	15369
Memory_B	142320	341	18112	60114	25321	2.37407685320485	3.31901501766784	15112
Naive_B	102596	308	18112	59120	24330	2.42992190711056	3.26413427561837	16458.25
Naive_B_CD5-	124301	269	18112	59054	25020	2.36027178257394	3.26049028268551	15419.25
Naive_B_CD5+	111955	271	18112	59021	25066	2.35462379318599	3.25866828621908	15463
Plasmablast	101775	250	18112	58228	24005	2.42566132055822	3.2148851590106	17693.5
PreB	126063	296	18112	55673	24084	2.31161767148314	3.07381846289753	16347.5
ProB	174916	290	18112	55414	24242	2.2858675026813	3.05951855123675	17089
Transitional_B	158130	270	18112	59275	25313	2.34168213961206	3.27269213780919	15453
