sample_name	sample_type	cell_source	sample_source	pmid	data_repository	data_repository_sample_id	study_specific_donor_id	donor_sex	cell_type	condition_label	perturbation	lineage	immunophenotype	bio_sample	bio_group	tech_rep	assay	tss_score	peak_count	frip	dedup_aligned_reads	sample_for_ABC_peak_calls
Donor1003_Activated_CD19+_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650813	Donor1003	female	CD19+ B	Activated CD19+ B	Activated	B Lymphoid	CD19+	Donor1003_Activated_CD19+_B	Activated_CD19+_B	1	ATAC-Seq	11.5	421342	0.24	47260536	FALSE
Donor1002_Activated_CD19+_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650772	Donor1002	male	CD19+ B	Activated CD19+ B	Activated	B Lymphoid	CD19+	Donor1002_Activated_CD19+_B	Activated_CD19+_B	1	ATAC-Seq	14.1	269742	0.22	66774262	FALSE
Donor1001_Activated_CD19+_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650730	Donor1001	female	CD19+ B	Activated CD19+ B	Activated	B Lymphoid	CD19+	Donor1001_Activated_CD19+_B	Activated_CD19+_B	1	ATAC-Seq	18.7	236132	0.21	80707664	TRUE
Donor1010_Activated_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650917	Donor1010	female	Memory B	Activated Memory B	Activated	B Lymphoid	CD19+CD27+	Donor1010_Activated_Memory_B	Activated_Memory_B	1	ATAC-Seq	8.1	325939	0.16	98119520	FALSE
Donor1003_Activated_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650815	Donor1003	female	Memory B	Activated Memory B	Activated	B Lymphoid	CD19+CD27+	Donor1003_Activated_Memory_B	Activated_Memory_B	1	ATAC-Seq	11.8	480905	0.29	40878562	FALSE
Donor1002_Activated_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650774	Donor1002	male	Memory B	Activated Memory B	Activated	B Lymphoid	CD19+CD27+	Donor1002_Activated_Memory_B	Activated_Memory_B	1	ATAC-Seq	14	270034	0.23	81170938	FALSE
Donor1001_Activated_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650732	Donor1001	female	Memory B	Activated Memory B	Activated	B Lymphoid	CD19+CD27+	Donor1001_Activated_Memory_B	Activated_Memory_B	1	ATAC-Seq	15.2	250689	0.18	65519010	TRUE
Donor1002_Activated_Naive_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650776	Donor1002	male	Naive B	Activated Naive B	Activated	B Lymphoid	CD19+CD27-	Donor1002_Activated_Naive_B	Activated_Naive_B	1	ATAC-Seq	14	256829	0.21	64431870	FALSE
Donor1003_Activated_Naive_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650817	Donor1003	female	Naive B	Activated Naive B	Activated	B Lymphoid	CD19+CD27-	Donor1003_Activated_Naive_B	Activated_Naive_B	1	ATAC-Seq	16	218927	0.19	34275436	FALSE
Donor1001_Activated_Naive_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650734	Donor1001	female	Naive B	Activated Naive B	Activated	B Lymphoid	CD19+CD27-	Donor1001_Activated_Naive_B	Activated_Naive_B	1	ATAC-Seq	19.8	240478	0.2	72419380	TRUE
Donor1004_CD19+_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650851	Donor1004	female	CD19+ B	CD19+ B	Unperturbed	B Lymphoid	CD19+	Donor1004_CD19+_B	CD19+_B	1	ATAC-Seq	8.8	338254	0.22	53071562	FALSE
Donor1003_CD19+_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650812	Donor1003	female	CD19+ B	CD19+ B	Unperturbed	B Lymphoid	CD19+	Donor1003_CD19+_B	CD19+_B	1	ATAC-Seq	16.2	372166	0.26	30983474	FALSE
Donor1001_CD19+_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650729	Donor1001	female	CD19+ B	CD19+ B	Unperturbed	B Lymphoid	CD19+	Donor1001_CD19+_B	CD19+_B	1	ATAC-Seq	18	207868	0.2	67370190	TRUE
Donor1002_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650773	Donor1002	male	Memory B	Memory B	Unperturbed	B Lymphoid	CD19+CD27+	Donor1002_Memory_B	Memory_B	1	ATAC-Seq	6.1	362046	0.17	30034758	FALSE
Donor1004_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650852	Donor1004	female	Memory B	Memory B	Unperturbed	B Lymphoid	CD19+CD27+	Donor1004_Memory_B	Memory_B	1	ATAC-Seq	6.6	310499	0.18	53638202	FALSE
Donor1003_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650814	Donor1003	female	Memory B	Memory B	Unperturbed	B Lymphoid	CD19+CD27+	Donor1003_Memory_B	Memory_B	1	ATAC-Seq	14.8	284798	0.24	36085834	FALSE
Donor1001_Memory_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650731	Donor1001	female	Memory B	Memory B	Unperturbed	B Lymphoid	CD19+CD27+	Donor1001_Memory_B	Memory_B	1	ATAC-Seq	17	187547	0.18	64809272	FALSE
Donor1004_Naive_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650853	Donor1004	female	Naive B	Naive B	Unperturbed	B Lymphoid	CD19+CD27-	Donor1004_Naive_B	Naive_B	1	ATAC-Seq	7.4	344859	0.17	82178672	FALSE
Donor1002_Naive_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650775	Donor1002	male	Naive B	Naive B	Unperturbed	B Lymphoid	CD19+CD27-	Donor1002_Naive_B	Naive_B	1	ATAC-Seq	10.4	348333	0.17	50602356	FALSE
Donor1003_Naive_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650816	Donor1003	female	Naive B	Naive B	Unperturbed	B Lymphoid	CD19+CD27-	Donor1003_Naive_B	Naive_B	1	ATAC-Seq	14.5	291352	0.24	43769626	FALSE
Donor1001_Naive_B	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650733	Donor1001	female	Naive B	Naive B	Unperturbed	B Lymphoid	CD19+CD27-	Donor1001_Naive_B	Naive_B	1	ATAC-Seq	22	150021	0.23	58432464	FALSE
Donor1010_Plasmablast	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650918	Donor1010	female	Plasmablast	Plasmablast	Unperturbed	B Lymphoid	CD19+CD27+CD138+CD20-	Donor1010_Plasmablast	Plasmablast	1	ATAC-Seq	6.1	400927	0.17	104729466	FALSE
Donor1002_Plasmablast	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650777	Donor1002	male	Plasmablast	Plasmablast	Unperturbed	B Lymphoid	CD19+CD27+CD138+CD20-	Donor1002_Plasmablast	Plasmablast	1	ATAC-Seq	13	185091	0.11	42570254	FALSE
Donor1001_Plasmablast	FACS isolated primary cell	Peripheral blood mononuclear cells	Calderon_2019_Nature_Genetics	31570894	NCBI GEO	SRR7650735	Donor1001	female	Plasmablast	Plasmablast	Unperturbed	B Lymphoid	CD19+CD27+CD138+CD20-	Donor1001_Plasmablast	Plasmablast	1	ATAC-Seq	12.8	314828	0.19	81243542	FALSE
