sample	PC1	PC2	Cluster	cell_type	cluster_name
Donor1003_Activated_CD19+_B	99.8575925488459	54.1854619067973	1	Activated_CD19+_B	Activated B
Donor1002_Activated_CD19+_B	106.120620486827	58.1176803853349	1	Activated_CD19+_B	Activated B
Donor1001_Activated_CD19+_B	83.1599500152927	55.3487869384718	1	Activated_CD19+_B	Activated B
Donor1010_Activated_Memory_B	112.615384813038	95.4151863076109	1	Activated_Memory_B	Activated B
Donor1003_Activated_Memory_B	121.966992167131	95.035393277761	1	Activated_Memory_B	Activated B
Donor1002_Activated_Memory_B	127.31565666885	100.304130409965	1	Activated_Memory_B	Activated B
Donor1001_Activated_Memory_B	117.225129460648	95.0893679416477	1	Activated_Memory_B	Activated B
Donor1002_Activated_Naive_B	93.3814265042003	45.4833811750884	1	Activated_Naive_B	Activated B
Donor1003_Activated_Naive_B	84.141249683825	46.0315282171376	1	Activated_Naive_B	Activated B
Donor1001_Activated_Naive_B	69.2335659742591	36.5902713235782	1	Activated_Naive_B	Activated B
Donor1004_CD19+_B	84.1699018723948	13.2878954070564	2	CD19+_B	Naive B 2
Donor1003_CD19+_B	87.0062477649995	-1.29180992235034	2	CD19+_B	Naive B 2
Donor1001_CD19+_B	87.962676344516	-3.95337457726582	2	CD19+_B	Naive B 2
Donor1002_Memory_B	116.438227377522	36.6021142927724	3	Memory_B	Memory B
Donor1004_Memory_B	114.632381451152	40.187832102344	3	Memory_B	Memory B
Donor1003_Memory_B	124.762941439224	43.5169921802655	3	Memory_B	Memory B
Donor1001_Memory_B	121.514227521714	56.6573259914637	3	Memory_B	Memory B
Donor1004_Naive_B	94.3869805257913	-0.798255703880714	2	Naive_B	Naive B 2
Donor1002_Naive_B	84.0077416764838	-19.2908572981588	2	Naive_B	Naive B 2
Donor1003_Naive_B	84.7912439040352	-19.9561909623534	2	Naive_B	Naive B 2
Donor1001_Naive_B	61.5561204187394	-26.4560283939723	2	Naive_B	Naive B 2
Donor1010_Plasmablast	99.9820636782283	113.009556378374	4	Plasmablast	Plasmablast
Donor1002_Plasmablast	96.802902734212	138.701555446138	4	Plasmablast	Plasmablast
Donor1001_Plasmablast	91.4534189326164	128.009243530938	4	Plasmablast	Plasmablast
Donor1_GCB-DZ	109.854284466733	63.2316332975049	5	B_Centroblast	GCB
Donor2_GCB-DZ	118.045828240922	63.366492082572	5	B_Centroblast	GCB
Donor3_GCB-DZ	133.91312278732	83.2445722206126	5	B_Centroblast	GCB
Donor4_GCB-DZ	119.915171666679	83.4461082835101	5	B_Centroblast	GCB
Donor5_GCB-DZ	118.07516058512	83.5091360490518	5	B_Centroblast	GCB
Donor6_GCB-DZ	123.757708791152	93.5384322100557	5	B_Centroblast	GCB
Donor7_GCB-DZ	112.096521887765	70.0734936275091	5	B_Centroblast	GCB
Donor1_GCB-LZ	107.709049718441	66.2291995476413	5	B_Centrocyte	GCB
Donor2_GCB-LZ	139.326631115533	72.6387005354151	5	B_Centrocyte	GCB
Donor3_GCB-LZ	145.979614021511	80.8924456619444	5	B_Centrocyte	GCB
Donor1_GCB_Memory_B	101.354936740222	52.9681161263096	3	Memory_B	Memory B
Donor2_GCB_Memory_B	142.207900754503	56.5068078859812	3	Memory_B	Memory B
Donor3_GCB_Memory_B	116.526326611448	65.7820065374056	3	Memory_B	Memory B
Donor1_GCB_Naive_B	96.7690802923451	-13.8654867177224	3	Naive_B	Memory B
Donor2_GCB_Naive_B	89.5225090610741	-1.53568808308429	2	Naive_B	Naive B 2
Donor3_GCB_Naive_B	75.0467339263486	-3.49630110732486	2	Naive_B	Naive B 2
Donor4_GCB_Naive_B	79.9201483220005	2.49942331068247	2	Naive_B	Naive B 2
Donor5_GCB_Naive_B	64.3911722847431	-17.279674240031	2	Naive_B	Naive B 2
Donor6_GCB_Naive_B	70.679154286409	-20.5492380367677	2	Naive_B	Naive B 2
Donor1_GCB_Plasmablast	113.830179476727	118.753180808427	4	Plasmablast	Plasmablast
Donor2_GCB_Plasmablast	108.300156925811	108.952791513595	4	Plasmablast	Plasmablast
Donor3_GCB_Plasmablast	88.1516428483293	126.685992228403	4	Plasmablast	Plasmablast
Donor4_GCB_Plasmablast	93.7081533853976	156.05946492875	4	Plasmablast	Plasmablast
D212_CLP	-232.598720586206	128.182037099413	6	CLP	CLP
D211_CLP	-208.475380107131	123.044137541824	6	CLP	CLP
D215_CLP	-236.626869841336	127.79166572913	6	CLP	CLP
D210_CLP	-218.805129537117	141.055685449073	6	CLP	CLP
D206_CLP	-250.955402399727	124.290334446649	6	CLP	CLP
D202_CLP	-265.329010535461	133.321539058208	6	CLP	CLP
D214_CLP	-208.892030802502	122.091674713099	6	CLP	CLP
D213_CLP	-234.918904285245	129.613893728434	6	CLP	CLP
D201_CLP	-205.784800676836	127.034339463151	6	CLP	CLP
D206_PreB	-139.188671895779	-106.915250313925	7	PreB	Pre-B
D210_PreB	-144.636893840207	-94.7079775312387	7	PreB	Pre-B
D212_PreB	-159.130112259831	-107.534464898111	7	PreB	Pre-B
D211_PreB	-162.846879535994	-88.0557313875377	7	PreB	Pre-B
