SDF4|NM_016176
SSU72|NM_014188
GNB1|NM_002074
GNB1|NM_001282538
RER1|NM_007033
LRRC47|NM_020710
CAMTA1|NM_001242701
CAMTA1|NM_015215
CAMTA1|NM_001349623
CAMTA1|NM_001349625
CAMTA1|NM_001349617
CAMTA1|NM_001349613
CAMTA1|NM_001349622
VAMP3|NM_004781
PARK7|NM_001123377
PARK7|NM_007262
DFFA|NM_213566
TARDBP|NM_007375
SRM|NM_003132
MAD2L2|NM_006341
MAD2L2|NM_001127325
SPEN|NM_015001
AKR7A2|NM_003689
AKR7A2|NM_001320979
CAPZB|NM_001282162
CAPZB|NM_004930
DDOST|NM_005216
CDC42|NM_001039802
RPL11|NM_001199802
RPL11|NM_000975
SRRM1|NM_001366600
SRRM1|NM_001303449
SRRM1|NM_001366596
TMEM50A|NM_014313
NUDC|NM_006600
WDTC1|NM_001276252
RPA2|NM_002946
RPA2|NM_001297558
DNAJC8|NM_014280
PUM1|NM_001020658
PEF1|NM_001359651
PEF1|NM_012392
PTP4A2|NM_001369860
PTP4A2|NM_001195101
KHDRBS1|NM_001271878
RBBP4|NM_001135255
RBBP4|NM_001135256
AK2|NM_013411
AK2|NM_001319140
PSMB2|NM_001199780
PSMB2|NM_002794
NDUFS5|NM_001184979
NDUFS5|NM_004552
ATP6V0B|NM_001039457
EIF2B3|NM_020365
EIF2B3|NM_001261418
PRDX1|NM_181697
PRDX1|NM_181696
PRDX1|NM_001202431
AKR1A1|NM_001202413
AKR1A1|NM_001202414
MKNK1|NM_001377337
RNF11|NM_014372
SCP2|NM_001007098
SCP2|NM_002979
SCP2|NM_001007099
SCP2|NM_001007250
TMEM59|NM_001305043
TMEM59|NM_001305066
TMEM59|NM_001305052
MRPL37|NM_016491
SERBP1|NM_001018068
ZRANB2|NM_203350
RABGGTB|NM_004582
SH3GLB1|NM_001206651
SH3GLB1|NM_016009
TMED5|NM_016040
DBT|NM_001918
DPH5|NM_001077395
DPH5|NM_001077394
PSMA5|NM_002790
SF3B4|NM_005850
APH1A|NM_001077628
APH1A|NM_001243772
ENSA|NM_207047
ENSA|NM_207045
ENSA|NM_004436
ENSA|NM_207168
VPS72|NM_005997
PSMD4|NM_001330692
PSMB4|NM_002796
ILF2|NM_004515
ILF2|NM_001267809
GATAD2B|NM_020699
JTB|NM_006694
C1orf43|NM_001297720
C1orf43|NM_001297721
HAX1|NM_001018837
UBE2Q1|NM_017582
PMVK|NM_001323011
PMVK|NM_001323012
SCAMP3|NM_005698
SSR2|NM_003145
CCT3|NM_005998
CCT3|NM_001008800
HDGF|NM_001319188
HDGF|NM_004494
HDGF|NM_001126051
HDGF|NM_001126050
NCSTN|NM_015331
PFDN2|NM_012394
NIT1|NM_005600
NIT1|NM_001185093
